Gene	ADHD	AD	AF	BP	CD	Celiac	CAD	DrinkWeek	FG	GRT	IBD	Insomnia	Intel	SLE	MDD	MS	PBC	ReactionTime	RA	SCZ	SleepDuration	SWB	T1D	T2D	UC	VNR	Worry	ALT	ALP	TC	Glucose	HbA1c	HDL	LDL	SHBG	TST	TBIL	TP	TG	EOS	LYM	MCH	MONO	PLT	RDW	RBC	WBC	BMD-HT	Balding	BMI	Height	WHR	DBP	SBP	BreastCancer	ECOL	EY	Smoking	AIT	Eczema	ASM	CVD	HTN	HT	RR-ENT	BMR	FEVi/FvC	FVC	NRT	MorningPerson	HAIR	MNR	MNP	NCH
CRIP1	0	0.052978765	0	0.033901308	0	0	0	0	0	0	0	0	0	0	0	0	0.06541737	0	0	0	0	0	0	0	0	0	0	0	0.056270573	0	0	0.04785085	0.06310153	0	0	0	0	0.059076335	0.036195524	0	0.057505414	0.063345626	0	0.075926796	0.049366467	0.036758363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIP2	0	0.08345105	0	0.06792144	0	0	0.12877516	0	0.038122762	0	0	0	0	0.051094867	0	0	0.07170749	0	0	0	0	0	0	0	0	0	0	0	0.034021378	0	0	0.052872688	0.09166743	0	0	0	0	0	0	0	0	0.05631943	0	0.1567459	0.06907335	0.057553716	0	0	0	0	0.05641164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059619296	0	0	0
CRISPLD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029414594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISPLD2	0	0	0	0	0.07936855	0.060535327	0	0.050744537	0	0	0.07493106	0	0	0	0	0	0	0	0.058968227	0	0	0.13492338	0.052744925	0	0.053855762	0	0	0.03882424	0.035695024	0	0	0	0	0	0	0.02292228	0	0.07818716	0	0.069287196	0.05636507	0	0.084462084	0	0	0	0.05940999	0.099983744	0.092963085	0	0	0	0	0	0.08617149	0	0	0	0.05856625	0.10698995	0.066491716	0.06192799	0.078707926	0.061231688	0.07207418	0.099039584	0	0	0.097561084	0	0	0	0.042711724	0.06316706
CRK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033616617	0
CRLF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049287636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRLF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083373785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027350068	0	0	0	0.07719183	0	0	0	0	0	0	0.062469646	0	0	0	0.10504724	0	0	0	0	0	0	0	0
CRLS1	0	0	0	0	0	0	0	0	0.04640293	0	0	0	0	0	0	0	0.050566133	0	0	0	0	0	0	0	0	0	0	0	0	0.0414977	0	0	0.047643863	0.0388067	0.036458854	0	0.026709465	0	0.03888455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04644955	0
CRMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03838672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRPPA	0.09580574	0	0.13032474	0.06104607	0	0.04149134	0	0.07288064	0	0.16300157	0	0.09161174	0.14328322	0	0.15720193	0	0	0.14427827	0	0.15751235	0.13441971	0.22870362	0	0.041749533	0	0.1190534	0.13688038	0.04259853	0	0	0.056723632	0	0	0	0	0	0	0.047823466	0	0	0	0	0	0	0	0	0	0.13539688	0.13795976	0.17732696	0.026892984	0	0.12556686	0.1259176	0.11225534	0.1782629	0.17610236	0.18284406	0	0.0677823	0.067525014	0.07567487	0.10824155	0	0.076453805	0.14950405	0.17060311	0.15822649	0.1674656	0.15417144	0.04795948	0.11562541	0	0.11722542
CRTAP	0	0.054847192	0	0	0.056899343	0	0	0	0	0	0.07533087	0	0	0	0	0.06693073	0.07742294	0	0.032838926	0	0	0	0.059879337	0	0.06566516	0	0	0	0.07073971	0	0	0.037621457	0.0704917	0.032572277	0.05495409	0	0	0	0.060722083	0.05627144	0.04261162	0.05918102	0	0	0.05807929	0	0.0465244	0	0	0	0	0	0	0	0	0	0	0	0.04918184	0.05044385	0	0	0	0.04086711	0	0	0	0	0	0	0	0	0	0
CRTC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055944026	0	0
CRTC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04007662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTC3	0.04903936	0	0.10393515	0	0	0	0	0	0	0.0998083	0	0	0.07185725	0	0.09802332	0	0	0.07987675	0	0.09795082	0	0.13468523	0	0	0	0.07735204	0.075971596	0	0	0	0	0	0	0	0	0	0	0.0492067	0	0	0	0	0	0	0	0	0	0.09547219	0.101331025	0.09473727	0	0	0.102986045	0.09901987	0.06680722	0.09181283	0.11088851	0.106868654	0	0.056194898	0	0.056984674	0.079845876	0	0	0.10317432	0.113558285	0.0842506	0.09564809	0.0969153	0	0	0	0
CRYAB	0	0.046547964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06564457	0	0	0	0	0	0	0	0.07824082	0	0	0	0	0	0	0	0.05314806	0	0	0	0.033124324	0	0.0405177	0	0	0.050645642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060892045	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYBG3	0.0616004	0	0	0	0	0	0	0.052229155	0	0	0	0	0	0	0.10239832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06579047	0	0	0.095138706	0	0	0	0	0	0	0	0	0	0	0	0.08995579	0	0	0.03454872	0.05926095
CRYL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04235223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02535474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03237347	0	0	0	0	0	0	0.041447613	0	0	0	0	0.02273657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08138284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSDC2	0	0	0	0.053536758	0	0	0.08736551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055094212	0	0	0	0	0	0	0	0	0	0.054552294	0	0	0	0	0	0	0	0	0	0	0	0	0
CSDE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035163965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSE1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06711931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05340338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04752111	0	0	0	0	0.06639039	0	0	0	0	0	0	0	0	0.07363363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034848403	0
CSF1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05661045	0	0	0	0	0.054343376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF2RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054376267	0	0	0.03758247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF3	0	0	0	0	0.07945914	0	0	0	0	0	0.103021294	0	0	0	0	0	0.053823236	0	0	0	0	0	0	0	0.10279943	0	0	0	0	0	0	0	0.06654893	0	0	0	0	0	0	0.08876742	0.055306148	0	0.07353375	0	0	0	0.13669667	0	0	0	0	0	0	0	0	0	0	0	0	0.10494132	0.107919514	0	0	0	0.10280279	0	0	0	0	0	0	0	0	0
CSF3R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05220103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051878802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSGALNACT1	0.063046075	0	0.10020662	0.035353515	0	0	0.047668945	0.04697331	0	0	0	0.07135242	0.095672205	0	0.121086255	0	0	0.10289247	0	0.111192755	0.088346496	0.14782454	0	0	0	0.06840985	0.10689274	0	0	0	0.039440684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10083491	0	0.114634305	0	0	0	0	0.1196655	0.10884415	0.113006696	0.12383969	0	0	0.041813247	0.049317885	0.070232555	0	0	0.09163058	0.10336141	0.08896595	0.10508736	0.12320564	0	0.057696324	0	0.089866236
CSGALNACT2	0	0	0	0	0	0.047707602	0	0	0	0	0	0	0	0.03490192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047282066	0.07956633	0	0	0	0	0	0	0	0	0	0	0	0.085347466	0	0	0	0	0.048965614	0	0	0	0	0	0	0	0	0
CSH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030460216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSK	0	0	0	0	0	0	0	0	0.047982313	0	0	0	0	0.036730792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04824523	0	0	0	0.045176424	0	0	0	0	0	0	0.040417004	0	0.043640338	0	0	0.045299158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04802404	0	0	0	0	0	0	0	0	0	0	0	0
CSKMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05890978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033519976	0
CSMD2	0.063552104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08416545	0	0	0	0	0	0.07727612	0	0	0	0	0	0	0	0	0.030765202	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09546819	0	0	0	0	0	0	0	0.101077095	0	0	0	0	0	0	0	0	0	0	0.09814035	0	0	0	0	0.08480746
CSNK1A1	0.07114921	0	0.11388018	0.05649837	0.06867335	0.085597485	0.058099914	0.054606248	0.038569175	0.10676228	0	0.08820482	0.11184311	0.045798022	0.102743395	0.06284719	0	0.11802756	0.036290813	0.13636185	0.09403354	0.17668161	0	0.035723235	0	0.07861271	0.11172967	0.06988885	0	0	0.047959983	0	0	0	0	0	0.046986416	0.052216303	0	0.06861111	0.06227619	0	0.054035615	0	0	0	0.061404895	0.12380807	0.103303775	0.13826086	0.025686095	0	0.09978866	0.09827348	0.09138901	0.12526082	0.11952193	0.124350555	0.07191597	0.08085169	0.07292732	0.07499567	0.09599648	0.073656626	0.09100845	0.112638846	0.13141346	0.118099175	0.11141377	0.11000465	0.05375046	0.08448576	0	0.093222134
CSNK1D	0	0	0	0	0.045474287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045646608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035139438	0
CSNK1E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043534398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK1G1	0.054562155	0	0	0	0	0.043173082	0	0.047473524	0	0.10095499	0	0	0.07755654	0	0.1012409	0	0	0.086699195	0	0.093021624	0.079425074	0.1426772	0	0	0	0.07272635	0.08029142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045805324	0	0	0	0	0.088456556	0.09573235	0.1000712	0	0	0.084854946	0.08464116	0.06851453	0.11068684	0.11348745	0.10852586	0	0	0	0.048025426	0.07072649	0	0	0.09363161	0.105753146	0.09302022	0.107781775	0.095515035	0	0.07144159	0	0.06717993
CSNK2B	0	0.05484723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042972114	0	0.042722393	0.043760873	0.036672235	0.033479996	0	0.029730078	0	0.043383185	0	0	0.06500232	0	0.06893012	0.049232885	0.045508415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSPG4	0	0	0.1082822	0.05685639	0	0	0.11014966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05046964	0	0.091537245	0.08296158	0	0	0	0	0	0	0	0	0	0	0	0	0.10899678	0	0	0	0	0	0	0
CSPP1	0	0	0	0	0	0.04471308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10161529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSRNP1	0	0	0	0	0.13768691	0	0	0	0	0	0.14422973	0	0	0	0	0.07015608	0.07750744	0	0.057898518	0	0	0	0.062332377	0	0.10549441	0	0	0	0.039933957	0	0	0	0	0	0.034075692	0	0	0	0	0.066544816	0.08116313	0.06423295	0.08285951	0	0	0	0.09378483	0	0	0	0	0	0	0	0	0	0	0	0.064345725	0.10204688	0.05206252	0	0	0	0	0	0	0	0	0	0	0	0.035327885	0
CSRNP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041192286	0
CSRP1	0	0	0	0.05939396	0	0	0.13906297	0	0	0	0	0	0	0.03887847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07801808	0	0	0	0	0	0	0	0	0	0	0.11908379	0	0	0	0	0	0	0.036799826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04864741	0	0	0
CSRP2	0	0	0	0	0	0	0.10901042	0	0	0	0	0	0	0.036901314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08388437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSRP3	0	0	0	0	0	0	0	0	0.04237385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043955576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CST3	0	0.16252355	0	0	0.12913506	0	0	0	0	0	0.16600499	0	0	0	0	0.17209375	0.18461151	0	0	0	0	0	0.13023405	0	0.16636407	0	0	0.057915963	0.17711745	0.10579726	0	0.14893913	0.13749675	0.076768264	0.12211343	0.0652616	0	0.09124447	0.13647623	0.08311848	0.09924321	0.21136527	0.046864543	0.107682	0.13169195	0.09842362	0.074601844	0	0	0	0	0	0	0	0	0	0	0	0.07202626	0	0	0	0	0.07255476	0	0	0	0	0	0	0.03594618	0	0	0
CST6	0	0	0	0.03989372	0	0	0.038411483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026067156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CST7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032818105	0	0.062313236	0	0	0.037527747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041634265	0	0.045897383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049983367	0	0	0	0	0.041812833	0	0	0	0	0	0	0	0	0	0
CSTA	0	0.07525878	0	0	0	0	0	0	0	0	0	0	0	0.034229435	0	0.06357645	0	0	0.035544913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033799928	0.032160766	0	0.032207415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTB	0	0.15677379	0	0	0.081972346	0	0	0	0.06609385	0	0.1158106	0	0	0.04843878	0	0.13277124	0.13222533	0	0	0	0	0	0.06516636	0	0.13521348	0	0	0.033588424	0.082034945	0.08079698	0	0.10109496	0.10142934	0.068407655	0.080485195	0.02769265	0.056204483	0	0.089795336	0.06536215	0.064197585	0.14433171	0	0.13523547	0.10260773	0.10345328	0.058017183	0	0	0	0	0	0	0	0	0	0	0	0.061897255	0	0	0	0	0.053607468	0	0	0	0	0	0	0	0	0	0
CSTF3	0	0	0	0	0	0	0	0.048132602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTBP2	0.061678495	0	0.13565692	0.040879313	0	0	0	0.048341807	0	0.13814943	0	0.06585897	0.11466404	0	0.13887252	0	0	0.13287166	0	0.13302377	0.12420456	0.20140173	0	0.033019487	0	0.10731578	0.11535061	0.033139292	0	0	0.05610572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12738617	0.14437717	0.1622566	0.03458795	0.0662912	0.13175854	0.13936305	0.09018258	0.1396681	0.1460151	0.14639525	0	0.05716762	0.0640241	0.08211474	0.11519582	0	0.06797018	0.16282645	0.15561937	0.13001975	0.1324057	0.15285698	0.051800493	0.113467075	0.046438526	0.10448062
CTDNEP1	0	0	0	0	0	0	0	0	0.031993076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0406096	0.04373787	0	0.029409539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTDSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033427957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTDSPL	0.06124841	0	0.10225165	0	0	0	0	0	0	0.094106175	0	0	0	0	0.1006718	0	0	0	0	0	0	0	0	0	0	0.07304813	0.073797055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03879115	0.08103284	0.082610816	0.084791906	0	0	0.1011202	0	0	0	0	0	0	0	0	0.09662683	0	0	0	0	0	0	0	0
CTHRC1	0	0.094887055	0	0	0	0.048750203	0.056088496	0	0.087006375	0	0	0	0	0.0498764	0	0	0.07674515	0	0.030968046	0	0	0	0	0.027403919	0.060980186	0	0	0	0	0.07245351	0	0	0.07596243	0.05630676	0	0	0.029437266	0	0.045858208	0	0	0	0	0.087366395	0.054885663	0.055378538	0	0	0	0	0	0	0	0	0	0	0	0	0.044599574	0	0	0	0	0.041011486	0	0	0	0	0	0	0.064047776	0	0	0
CTIF	0	0	0	0.035921358	0	0	0	0	0	0.09943356	0	0	0.08633686	0	0.0987203	0	0	0.08587028	0	0.095064595	0.074262306	0.14507562	0	0	0	0.07881878	0.07642784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08053382	0.08381295	0.10941449	0.025225185	0	0.09300846	0.09102883	0	0.10560308	0.10419684	0.11059057	0	0	0.050699495	0.047667105	0.06926462	0	0.04554371	0.08904513	0.1287292	0.108904704	0.09827311	0.08707787	0	0	0	0.059424482
CTLA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03087998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04397715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNA1	0	0	0	0.03890906	0	0	0	0	0	0.09993014	0	0	0.07499541	0	0.096204154	0	0	0.084854014	0	0.08992883	0	0	0	0	0	0.07099319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09384989	0	0	0.08537345	0	0	0	0.09783845	0.09669163	0	0	0.0479744	0.060309883	0.07716737	0	0.043035686	0	0.10569488	0	0.09376167	0	0.03532979	0.058520906	0	0
CTNNA3	0	0	0	0	0	0	0.04317633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNB1	0	0	0	0	0	0.045973323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07794238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033017702	0
CTNND1	0.08494741	0	0.12124335	0	0	0	0	0.05581617	0	0.1291131	0	0.07634687	0.10047677	0	0.1481518	0	0	0.115654856	0	0.14476287	0.09180019	0.181611	0	0	0	0.092062406	0.10566522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108959004	0.10868904	0.13053536	0	0	0.1154123	0.13158064	0.0898884	0.1331202	0.15905245	0.13998273	0	0	0	0.05819663	0.08847336	0	0.047480613	0.11970601	0.16509177	0.11534095	0.16016681	0.1372631	0	0.08262589	0	0.08810536
CTPS1	0	0	0	0	0	0	0.04071044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTRB2	0	0	0	0	0	0	0.037188295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSA	0	0.090633	0	0	0	0	0	0	0.033782523	0	0	0	0	0	0	0.058418516	0.078930415	0	0	0	0	0	0.048036225	0	0.08868701	0	0	0	0.045835506	0.040514626	0	0.050325897	0.08315538	0.038630724	0	0	0	0	0.08902016	0	0	0.10444562	0	0.066862434	0.044012245	0.08227477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSB	0	0.13617611	0	0	0.094210245	0.06332468	0.07595538	0	0.08453203	0	0.12941037	0	0	0.09686169	0	0.10931372	0.14872454	0	0.04197573	0	0	0	0.064814515	0	0.13762827	0	0	0.038846426	0.040592194	0.08714173	0	0.060090885	0.116449334	0.07342575	0	0	0.0498149	0	0.06492021	0.07429933	0.065348804	0.075002134	0	0.11860408	0.09704347	0.06462538	0.08457891	0	0	0	0	0	0	0	0	0	0	0	0.0931549	0	0	0	0	0.070890374	0	0	0	0	0	0	0.04382162	0	0	0
CTSC	0	0.063944675	0	0	0.10843121	0	0	0	0.061834913	0	0.11538209	0	0	0.04551134	0	0.07137991	0.083435215	0	0	0	0	0	0	0	0.08863007	0	0	0	0	0.049748998	0	0	0.052617934	0.037354678	0.037515383	0	0.02794893	0	0	0.06062723	0	0	0	0.085350744	0.06863475	0	0.08005007	0	0	0	0	0	0	0	0	0	0	0	0.040811732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSD	0	0.14390758	0	0	0.06185994	0.03879096	0.03938705	0	0.059003383	0	0.091465585	0	0	0.057837367	0	0.12171565	0.12242543	0	0	0	0	0	0.066311754	0	0.103307806	0	0	0.05005211	0.082113765	0.08525474	0	0.09749204	0.11220328	0.07000749	0.054978903	0	0.050604384	0	0.09884432	0.06153052	0.07312319	0.12787624	0	0.1183483	0.0910503	0.09956235	0.048611168	0	0	0	0	0	0	0	0	0	0	0	0.06404705	0	0	0	0	0.069028005	0	0	0	0	0	0	0.05663922	0	0	0
CTSF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057283707	0	0	0	0	0	0.050627	0	0	0.05887643	0	0.039459836	0	0.025086649	0	0	0.051989976	0	0	0.07269993	0	0	0	0.044993114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
