Genes	ActFB	apCAF	CycFB	CytFB	DerFB	DevFB	EpiFB	FCC	FCPC	iCAF	LipFB	MetFB	myoCAF	PapFB	ProFB	UniFB
PPP1R14A	-0.367622133	-0.210550426	-0.159034083	-0.512502267	-0.422825912	2.770374749	0.06004073	-0.492459561	-0.155783691	-0.431430323	-0.472767164	-0.511364838	2.26254913	-0.417852929	-0.431215684	-0.5075556
ACTG2	-0.073860533	-0.317872813	-0.224109896	-0.308952752	-0.289736388	-0.105210447	-0.229738338	-0.275786557	-0.038194159	-0.304843871	-0.322484803	-0.328697207	3.732878585	-0.24707787	-0.341117311	-0.32519564
TAGLN.1	1.169731535	-0.481721291	-0.298245957	-0.458814499	-0.394183398	-0.471972861	-0.283461837	-0.297663325	0.108340807	-0.328159917	-0.547563413	-0.326959221	3.429326086	-0.299306506	-0.405003113	-0.114343089
TINAGL1	-0.229884821	-0.269229075	-0.231701459	-0.28080753	-0.168746991	-0.253178258	-0.242746577	-0.241439173	-0.23706527	-0.231634195	-0.278647485	-0.289489949	3.748097206	-0.222207701	-0.296195506	-0.275123215
NOTCH3	-0.116776881	-0.165199077	0.254284394	-0.464876802	0.498859965	-0.188673073	-0.388862203	-0.39254619	-0.335876374	-0.394040657	-0.323041936	-0.482313163	3.605669401	-0.146216942	-0.485988168	-0.474402295
FHL5	-0.258482146	-0.194903554	-0.226756552	-0.269248564	-0.237555639	-0.176092411	-0.269066282	-0.266768555	-0.258173583	-0.253891127	-0.259375128	-0.269365012	3.748501553	-0.271670387	-0.26907045	-0.268082163
ANGPTL7	-0.33514801	-0.28009211	-0.297048225	-0.024116401	-0.336372236	0.110617413	-0.349662686	-0.327405561	-0.325883812	-0.269007849	-0.300955836	-0.146013591	-0.334953919	3.719657072	-0.26293589	-0.24067836
TENM2	-0.264754286	0.065494627	-0.160346279	-0.243987832	-0.289864555	-0.228539859	-0.297061513	-0.297891837	-0.276729097	-0.268279693	-0.294825556	-0.304653553	-0.295311225	3.734272695	-0.282373532	-0.295148504
FOXD2	-0.329306833	-0.301115577	-0.300539517	-0.1785066	-0.31442811	-0.291841217	-0.211178192	-0.236460887	-0.316415285	-0.31330404	-0.243187485	-0.277032553	0.129581775	3.727375828	-0.239483995	-0.304157312
ENTPD2	-0.324973238	-0.3204795	-0.18472533	-0.266810464	-0.264447003	0.084116874	-0.160344429	-0.307510347	-0.304338551	-0.269637483	-0.343516846	-0.284220343	-0.154960802	3.728524077	-0.350185355	-0.276491261
SOX8	-0.428703998	-0.413646111	-0.272585821	-0.279409964	-0.364109457	1.597839761	-0.25268066	-0.304373914	-0.407577157	-0.407546518	-0.370565319	-0.255783755	-0.353809015	3.271107807	-0.34104066	-0.417115217
FOXD1	-0.530920215	-0.46515434	-0.481734585	0.687791213	-0.507304431	-0.46911701	-0.389963815	-0.207281821	-0.492454162	-0.406605876	-0.348586308	0.201722464	-0.160109883	3.499215108	0.410414048	-0.339910387
CDH19	-0.498653243	-0.40382499	-0.353152623	0.28315106	-0.415733379	1.959436177	-0.501817438	-0.44950615	-0.454523329	-0.049379396	-0.355817498	-0.489626215	-0.418181394	2.971171201	-0.417387401	-0.406155382
PODNL1	0.141071835	-0.241710104	-0.379578741	-0.047800613	-0.476377852	-0.416469184	0.482204218	-0.378343048	-0.188526613	-0.418468399	-0.381426403	-0.346811455	-0.125829949	3.625943514	-0.430773885	-0.41710332
FZD2	-0.230096862	-0.41604932	-0.002610414	0.211251932	-0.483196888	-0.499608711	0.5582856	-0.456251327	-0.374528478	-0.472315621	-0.241627659	-0.134136816	-0.151674532	3.58587138	-0.502224338	-0.391087946
APOD.1	-0.504395582	-0.624713539	-0.303046969	-0.598279327	0.010862631	0.3031772	-0.663678274	0.102090302	-0.124774023	2.149008922	-0.557851452	-0.638446811	-0.61228617	2.720265067	-0.425978032	-0.231953942
HMCN2	-0.440771443	-0.404097068	-0.484169104	-0.081813825	0.05287061	-0.367420315	-0.522517778	-0.441322742	-0.426640041	-0.015778387	-0.188767844	0.224123715	0.088410378	-0.313503242	3.648870303	-0.327473217
LRP1B.1	-0.465989658	-0.37889022	-0.451249698	-0.042807377	-0.45732768	-0.423916329	-0.434518429	-0.419783162	-0.455663153	-0.263489283	2.303731221	-0.130353743	-0.448191403	-0.264995707	2.761268318	-0.427823697
BMP5	-0.019051633	1.684178955	-0.259311737	-0.439848295	-0.609339689	-0.502944879	-0.548247704	-0.545405557	0.103901619	-0.307324205	-0.399111902	-0.598654292	-0.37478255	0.337631793	3.073792525	-0.595482448
BMPER	-0.576942936	0.058632317	-0.533465852	0.387129978	-0.515738277	-0.570530047	-0.511982969	-0.546477237	-0.521698389	-0.165660148	1.520782372	-0.06376421	-0.602637789	0.010306959	3.137206743	-0.505160515
KIAA0040	-0.627533493	-0.297464546	-0.524225492	-0.162261348	0.00429528	-0.647543396	-0.705927248	-0.511147061	-0.37469986	-0.179177436	0.776046027	-0.105683394	0.271904289	0.039485478	3.464061146	-0.420128946
THBS4	-0.496153872	-0.53714512	0.77888055	-0.578854194	-0.543581004	-0.358907834	-0.66628715	-0.630358377	-0.251680474	0.875455789	-0.612223034	-0.600369869	-0.0759283	1.1921927	3.002975129	-0.498014942
GFRA1	-0.773016072	-0.551848854	-0.409356858	0.453596466	-0.142936915	-0.367376469	-0.819039345	-0.450304925	-0.54343529	-0.060322997	1.352507616	0.458881618	-0.676771134	-0.508287337	3.104188354	-0.066477857
CRLF1	-0.755430318	-0.537416405	-0.672189737	1.015655885	-0.724120109	-0.782194423	-0.825303999	-0.403808602	-0.641263076	-0.333185337	0.366976374	0.495097496	0.604392509	0.590916086	2.985480864	-0.383607208
DMRT2	-0.556660544	-0.543557231	-0.385608339	-0.208484439	0.240022946	-0.444483378	-0.567240484	-0.422190341	-0.541147367	-0.320692455	0.948308681	0.877087826	-0.493295855	-0.406161752	3.281140618	-0.457037884
CCN5	-0.77316981	-0.618185906	-0.765128677	1.177375638	-0.743204634	-0.747573492	-0.334623577	-0.434005729	-0.746294424	-0.461681794	1.219060941	1.550698407	-0.004210668	-0.411366681	2.391120614	-0.298810208
SEMA3C	-0.343720616	-0.001618143	0.057619087	0.089074327	-0.558213233	-0.336564228	-0.580707832	-0.233322324	-0.434179948	-0.241027464	-0.569578535	1.154240111	-0.611018602	-0.30082255	-0.475538824	3.385378771
MFAP5	-0.516739647	-0.702043567	0.537346302	-0.070823888	-0.661664178	-0.617502997	-0.73919893	0.130779661	-0.311096878	0.291412342	-0.214985869	0.491966692	-0.605620951	-0.485691026	0.085077483	3.38878545
PI16	-0.671641009	-0.691688602	-0.570898427	0.21070897	-0.655281376	-0.539692487	-0.724166605	-0.368936873	-0.500500833	0.353690212	-0.455311032	1.273571186	-0.586418114	1.237927506	-0.176096097	2.864733582
IGFBP6	-0.332348287	-0.821267357	-0.32371412	-0.09199715	-0.684272858	-0.390766266	-0.51081897	0.063950579	-0.176996362	1.010400298	-0.365886143	0.106684918	-0.381579795	-0.30656545	-0.219800185	3.424977149
PLA2G2A	-0.632972739	-0.726538964	-0.70887329	-0.065449099	-0.468927272	-0.423522784	-0.76070348	2.023089697	0.068282073	0.572509754	-0.13212702	0.20832688	-0.687659483	-0.523962258	-0.420365291	2.678893277
SLPI	-0.539140448	-0.706854349	-0.653180079	0.147856293	-0.530903368	-0.577812318	-0.720267378	0.656887295	0.324793889	0.428446273	-0.409588439	0.63133932	-0.600858975	-0.398946797	-0.324988099	3.27321718
PCOLCE2	-0.751281365	-0.748384864	-0.668574918	0.917457674	-0.74971102	-0.659724906	-0.789862248	-0.372904389	-0.587035054	0.439123951	0.090284532	1.820856893	-0.259906376	-0.483944556	0.232709252	2.570897394
IFI27	-0.126613089	-1.017949965	-0.73693072	-0.77629855	-0.255868763	-0.027220574	0.645894007	0.542032879	0.252792956	0.90320211	-0.859487579	-0.151592396	-0.552383471	-0.258824349	-0.672526336	3.09177384
SCARA5	-0.877941344	-0.815960452	-0.604827323	0.784100812	-0.742189169	-0.635264521	-0.979686577	-0.312678973	-0.453856518	0.657211272	0.288353201	1.370027888	-0.843575648	-0.034508487	0.566607908	2.63418793
IGFBP5	-0.456360842	-0.650549902	-0.120346643	-0.493686124	3.343135637	-0.386397865	-0.589143126	-0.282236723	-0.265279448	0.314058291	-0.456562359	-0.300742772	-0.032222251	-0.361973527	-0.49258584	1.230893496
